Nome do Objeto,Modelo,Responsável pela Pesquisa,Tipo do Objeto,Descrição do Objeto,Função/Uso,Ano de Fabricação/Época,Foi importado para o Memória Virtual?,Fabricante,Local de Fabricação/Origem,Estado do Objeto,Localização atual,Situação do Cadastro,É patrimoniável ?,Foi importado para o Memória Virtual?,Número de Patrimônio,Passou pelo CTA,Imagens do Objeto
,Cabin 2000R,"Grupo 10 BSI. Arthur Nobre Kuwahara; Cássio Perpétuo Cunha; Leonardo Gonçalves Chahud; Mateus Vinicius Bezerra.",Outros,"Projetor de slides de filme de 35mm (tecnologia similar a câmeras fotográficas antigas). Lançado na década de 1970 pela empresa japonesa Cabin Industries. Lâmpada incandescente de 150W. Controle ligado a um fio. Opção do cartucho para 36 slides e também a opção do carrossel de 100 slides. Peso: aproximadamente 5kg; Dimensões: 11,5cm de altura, 23,5cm de largura, 26cm de profundidade.","Sua projeção é feita a partir de uma lâmpada que joga um feixe de luz através do filme do slide que capta a imagem e depois passa por um jogo de lentes que projeta a imagem numa superfície clara (geralmente uma parede ou uma tela). Ele também possui um controle, ligado por um fio, que permite passar e voltar os slides, assim como ajustar o foco. A cada passada de slide o aparelho retira o filme, o devolvendo para a gaveta (ou carrossel) e passando para o próximo. O projetor possuía a opção do cartucho para 36 slides e também a opção do carrossel de 100 slides.","Década de 1970",,"Cabin Industrial Co., LTD.","Tóquio, Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/3/1/27834_ca_attribute_values_value_blob_3117_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/13853_ca_attribute_values_value_blob_3118_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/67683_ca_attribute_values_value_blob_3119_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/13126_ca_attribute_values_value_blob_3120_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/59069_ca_attribute_values_value_blob_3121_large.jpg' width='700' height='447' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/95453_ca_attribute_values_value_blob_3122_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/55113_ca_attribute_values_value_blob_3123_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/80543_ca_attribute_values_value_blob_3124_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/1/56174_ca_attribute_values_value_blob_3125_large.jpg' width='700' height='933' />"
,Compucorp 392,"Grupo 7 - Anlee Feng Chang, Darlam Alves da Silva, Fernando Alee Suaiden, Hugo Ferreira Gabriel Vieira",Outros,"O leitor e gravador de cassetes executa diversas funções que só são possíveis devido a um cabo de conexão que une o monroe 392 e o monroe 326 scientist.   ","O Compucorp 392 tem como objetivo armazenar em uma fita cassete os registros de memória feitos pela calculadora monroe 326 scientist. Essa, por sua vez, possui a função de solucionar vários tipos de problemas por meio da programação, no qual é possível realizar uma gama de estudos científicos e matemáticos, bem como possíveis aplicações da engenharia. Assim sendo, os programas podem ser armazenados em uma fita magnética para serem inspecionados e alterados sempre que for necessário. As funções executadas por 8 botões diferentes, são eles: (1) EJECT, que tem como função abrir a porta da unidade para permitir a inserção ou remoção do cassete;  (2) RECORD, cujo o objetivo é gravar dados ou programas que partem do monroe 326 scientist;  (3) REWIND, tem o papel de rebobinar a fita;  (4) READY, cujo o propósito é gravar ou ler a fita magnética, na primeira situação ready e record devem ser pressionados conjuntamente;  (5) FORWARD, tem como função acelerar a leitura da fita  (6) STOP, tem como finalidade parar qualquer movimento da fita, além de destravar os outros botões;  (7) WRITE ON TAPE, permite que programas e dados sejam gravados na fita ou para carregar um programa (8) READ FROM TAPE, carrega as instruções do programa para serem alteradas pelo botão WRITE ON TAPE (7).  ",1975,,"Computer Design Corporation (Compucorp)","Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/3/3/90859_ca_attribute_values_value_blob_3385_large.jpg' width='700' height='893' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/55241_ca_attribute_values_value_blob_3538_large.jpg' width='700' height='536' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/48158_ca_attribute_values_value_blob_3539_large.jpg' width='700' height='1113' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/33229_ca_attribute_values_value_blob_3541_large.jpg' width='700' height='1101' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/33289_ca_attribute_values_value_blob_3542_large.jpg' width='700' height='829' />"
,"FX-8700GB","Danielle Modesti, Laura Ferre Scotelari, Paulo Henrique dos Santos Almeida, Pedro Benício Januário Oliveira (Grupo 14 - BCC - Turma 2)",Calculadoras,"Calculadora gráfica da primeira geração de calculadoras da marca Casio, pertencente à série Power Graphic - com muitas funções de gráficos complexos, facilitando a compreensão matemática do usuário. Dimensões de 15.6mm (altura) x 81mm (comprimento) x 172.5mm (profundidade) e massa de 185.5 gramas, vide manual.","Exibir funções no display gráfico, programar, editar arquivos, analisar regressões. Plotar funções gráficas compostas, polares, paramétricas, de inequação e estatísticas, aumentar ou diminuir a magnitude dos gráficos, designar intervalo de coordenadas. A calculadora exibe texto de 16 colunas x 8 linhas (128 caracteres totais), bem como gráficos de 96x64 pontos. Capacidade de exibição de 12 caracteres. ",1990,,Casio,"Shibuya/Tokyo - Japão",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/0/62016_ca_attribute_values_value_blob_2007_large.jpg' width='700' height='1223' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/0/73897_ca_attribute_values_value_blob_2008_large.jpg' width='700' height='901' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/0/20958_ca_attribute_values_value_blob_2009_large.jpg' width='700' height='1508' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/0/28775_ca_attribute_values_value_blob_2065_large.jpg' width='700' height='932' />"
,IS 286 Plus,"Danielle Modesti, Laura Ferre Scotelari, Paulo Henrique dos Santos Almeida, Pedro Benício Januário Oliveira (Grupo 14 - BCC - Turma 2)",Computadores,"O Itautec IS 286 Plus é um microcomputador da linha IS lançado em 1989. Integrava a linha de máquinas da Itautec voltadas ao uso pessoal e representou um salto na capacidade de processamento em relação ao seu antecessor, o IS 30.  Quanto às suas especificações técnicas, o IS 286 Plus emprega um processador 80286, apresenta placas de expansão de memória de 2, 4 e 8 Mbytes e possui versões com winchesters de 20, 40 e 85 Mbytes. Inicialmente possuía drivers de 360 kbytes mas, posteriormente, passou a apresentar drivers de 1,2 Mbytes.","Os microcomputadores, assim como os computadores atuais, possuíam o processamento e armazenamento de dados como função principal, agilizando processos antes feitos manualmente. Entretanto, também serviam como forma de estudo e lazer, o que levou à popularização dessas máquinas no ambiente domiciliar.",1989,,Itautec,Brasil,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/0/84977_ca_attribute_values_value_blob_2066_large.jpg' width='700' height='510' />"
,"SR-11","Grupo 28: Fábio Verardino de Oliveira, Gabriel Bacarin Marcondes, Murillo Moraes Martins, Gustavo Sampaio Lima",Calculadoras,"Esse é um exemplo de uma antiga calculadora científica comercializada pela Texas Instruments. Foi introduzida no mercado em 1973. A calculadora de mão tinha uma carcaça plástica preta e marfim com uma matriz de 24 teclas. Ela possui 10 teclas numéricas, uma tecla  ""decimal"", uma tecla ""mudança de sinal"", uma tecla ""total"", quatro teclas de funções aritméticas, uma tecla ""recíproca"", uma tecla ""potência de 2"", uma tecla ""raiz quadrada"", uma tecla ""pi"", uma tecla ""inserir expoente"" e uma tecla ""limpar entrada"". O botão de ligar fica acima do display de LED de 12 dígitos, ao lado do logo da Texas Instruments. A parte traseira possui uma entrada para o carregador/adaptador de energia. Um adesivo na parte traseira da calculadora dá informações detalhadas sobre seu uso.","Além de possuir as operações básicas(adição, subtração, multiplicação e divisão), a calculadora possui funções em teclas tais como: notação científica de números, suporte a números decimais, suporte operações exponenciais e raizes quadradas, recebimento do valor de pi até 8 digitos significativos, alteração de sinal positivo e negativo, exponenciação na base 10 e operação 1/x.","1973-1974",,Texas Instruments,"Estados Unidos: Dallas, Texas",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/6/78416_ca_attribute_values_value_blob_2655_large.jpg' width='700' height='525' />"
,840C,"Grupo 28: Fábio Verardino de Oliveira, Gabriel Bacarin Marcondes, Murillo Moraes Martins, Gustavo Sampaio Lima",Impressoras,"Impressora a jato de tinta produzida no início dos anos 2000 pela HP. Realizava impressões em diversas mídias, como envelopes, transparencias, banners e papel fotográfico - além de papel comum. Tinha modos de impressão em cor e preto e branco, suportando vários tamanhos de papel, como A4, A5 e US Letter, por exemplo. A impressora era compátivel com a maioria dos sistemas operacionais da época, incluindo MacOS 8.1, MS DOS e diversas versões do Windows, como a NT e a ME. Além disso, comunicava-se com o computador por meio de uma interface paralela ou de uma porta USB. Também contava com 2 megabytes de memória RAM para armazenar os documentos a serem impressos. Com um peso de 5,7 kg, capacidade de 100 folhas na bandeja de impressão e resolução de até 1200 dpi (pontos por polegada), a impressora pode ser classificada como pessoal - de porte médio - para uso casual ou para escritórios pequenos.","Imprimir fotos/documentos em diversos tamanhos de folha, envelopes, papéis fotográficos e banneres com a opção de ser em preto e branco ou colorido. ","1999-2000",,"Hewlett-Packard (HP)",Estados Unidos,,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/6/33179_ca_attribute_values_value_blob_2656_large.jpg' width='700' height='525' />"
,Toshiba Rupo JW95HV,"Grupo 9 - BCC 2021 (Fábio, Tarcidio, Théo e Henrique)",Computadores,"O computador Rupo JW95HV possui uma tela backlight LCD branca, dimensões externas de 365 x 395 x 103 (largura x comprimento x altura). Possui 6,5 kg. Funciona com 100 VAC 50/60 Hz e 0,8A. Tem cor azul escuro com teclas pretas.","O Toshiba JW95HV é um computador editor de texto sofisticado, capaz de produzir documentos de até 48 mil caracteres com 3 diferentes fontes de letras. Possui também uma impressora embutida que utiliza a tecnologia de impressão de 3 linhas simultâneas com capacidade de produzir 230 caracteres por segundo.",1991,"Não",TOSHIBA,"JAPÃO",,,Em Progresso,Sim,"Não",,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/2/1/64542_ca_attribute_values_value_blob_2153_large.jpg' width='700' height='466' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/1/87656_ca_attribute_values_value_blob_2154_large.jpg' width='700' height='466' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/1/67464_ca_attribute_values_value_blob_2155_large.jpg' width='700' height='466' />"
,9820A,"Grupo 5 - BCC",Calculadoras,"Peso: 34lb (15,4221 Kg); Altura: 7"" (17,78 cm); Largura: 16"" (40,64 cm); Comprimento: 19,5"" (49,53 cm); Valor comercial: USD $4.975,00; A calculadora tem capacidade de expansão por meio dos slots atrás da tela, nos quais é possível inserir três blocos de memória ROM. Tais blocos fornecem funções matemáticas adicionais e funções de controle periférico, e até mesmo permitem ao operador atribuir uma função definida por ele a um conjunto de teclas; Esta calculadora possui um display LED alfanumérico de uma linha (16 caracteres, deslocáveis se necessário) por onde mostra as entradas do operador e as saídas das operações; Utiliza uma programação relativamente simples. Os dados são armazenados em registradores denotados por A, B, C, X, Y e Z, e também nos registradores que vão de R0 a R172 por padrão (é possível fazer a expansão da memória, indo então até o R428).","Capaz de realizar operações básicas, utilizando parênteses, conceitos algébricos e multiplicações implícitas; Utiliza uma linguagem de programação relativamente simples, denominada HPL (High Performance Language), que supostamente reunia alguns conceitos das linguagens de programação comuns na época ALGOL, FORTRAN e BASIC.",1972,,HP,"Loveland, Colorado - EUA",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/1/14831_ca_attribute_values_value_blob_2191_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/1/96376_ca_attribute_values_value_blob_2192_large.jpg' width='700' height='559' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/1/19068_ca_attribute_values_value_blob_2193_large.jpg' width='700' height='1261' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/1/75032_ca_attribute_values_value_blob_2194_large.jpg' width='700' height='955' />"
,"HC100 4-Pen Color","Grupo 5 - BCC",Impressoras,"A impressora Tektronix HC100 foi lançada em 1987 pela Tektronix, empresa com foco em ferramentas de medição como osciloscópios. O dispositivo utiliza até 4 canetas simultaneamente para imprimir imagens e textos, desenha a uma velocidade de até 9 Polegadas (22,86 cm) por segundo e pode ser utilizada para impressão tanto em papel como em transparências. A máquina tinha como função principal ser associada a osciloscópios da série Tektronix 2430 para plotar automaticamente as formas de onda obtidas pelo osciloscópio, mas também podia ser utilizada como uma impressora comum. Podia também ser programada utilizando a linguagem BASIC para imprimir figuras customizadas, como gráficos e tabelas.","Uma impressora plotter é um dispositivo de saída usado para produzir cópias impressas de grandes gráficos e projetos em papel, como mapas de construção, desenhos de engenharia, planos arquitetônicos, gráficos comerciais etc.",1987,,"Tektronix, Inc.","Oregon, EUA",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/1/65494_ca_attribute_values_value_blob_2181_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/17048_ca_attribute_values_value_blob_3576_large.jpg' width='700' height='450' />"
,Tidalwave Palm 200,"Grupo 6 BSI: Silmar Junior, Roberto Utagawa, Rafael Jun Teramae Dantas",Computadores,"O Tidalwave Ps-1000 é um modelo similar ao MONYDATA Palm 200. Fabricado em 1992, o computador portátil PS-1000 possui 11,5 cm de comprimento, 24,5 cm de largura e 2,5 cm de altura. Apesar de pequeno, apresenta uma tela LCD Supertwist monocromático (4 escalas de cinza) 640 x 200 de 7,2 polegadas; uma CPU NEC V30 @ 7.15 MHz; 1MB de memória (RAM); 1.5MB ROM (software); portas de E/S  RS232 Serial, slot PCMCIA 1.0 Tipo I, porta paralela; sistema operacional MS-DOS 5.0;  inclui sofwares pre-instalados como: MS Works 2.0, lista telefônica, calculadora e planilha; e é alimentado por 2 baterias AA.","Computador portátil para trabalho/estudo.",1992,,Tidalwave,Taiwan,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/2/98106_ca_attribute_values_value_blob_2236_large.jpg' width='700' height='637' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/2/33342_ca_attribute_values_value_blob_2237_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/7/25804_ca_attribute_values_value_blob_2770_large.jpg' width='700' height='525' />"
Punched Card,"Cartão IMB","Grupo 6 - BSI : Silmar Junior, Roberto Utagawa, Rafael Jun Teramae Dantas",Outros,"O puched card é um pedaço de papel rígido que contém dados digitais representados pela presença ou ausência de furos em posições predefinidas.  O cartão IBM tem orifícios retangulares, 80 colunas e 12 linhas. O tamanho do cartão é  de 187,325 mm × 82,55 mm. Os cartões são feitos de papel liso, com 0.1778 mm  de espessura.","Utilizado para entrada, saída e armazenamento de dados na indústria de processamento de dados","Segunda metade do século 20","Não","Escola de Engenharia de São Carlos - EESCUSP",Brasil,Funcionando,,Finalizado,,"Não",,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/5/43020_ca_attribute_values_value_blob_2550_large.jpg' width='700' height='285' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/5/69392_ca_attribute_values_value_blob_2552_large.jpg' width='700' height='567' />"
,Curta Type II,"Grupo 23 (André, Bruno, Fernando, Luis e Vinícius) - BCC",Calculadoras,"Curta Type II é uma calculadora mecânica de bolso, cilíndrica de metal preto  com tampa removível giratória e capacidade e resultados estendidos: tem onze dígitos para entrada de dados, um contador de voltas de oito dígitos e um contador de resultados de quinze dígitos. Tem uma manivela em uma extremidade. As Curtas foram consideradas as melhores calculadoras portáteis disponíveis até serem substituídas pelas calculadoras eletrônicas na década de 1970. Dimensões: - Diâmetro: 6,6cm,  - Altura: 9,15 cm ( 11,1 cm com a manivela)  - Peso: 355 g  ","Curta permite a execução das quatro operações fundamentais: adição, subtração, multiplicação e divisão.  ",1954,,Contina AG Mauren,"Mauren, Liechtenstein ",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/9/5367_ca_attribute_values_value_blob_2913_large.jpg' width='700' height='523' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/9/94099_ca_attribute_values_value_blob_2914_large.jpg' width='700' height='472' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/9/507_ca_attribute_values_value_blob_2917_large.jpg' width='700' height='366' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/9/38956_ca_attribute_values_value_blob_2918_large.jpg' width='700' height='458' />"
,"NO. PA1240U VCD PA1240U-S2C","Grupo 2 - Guilherme Tosi, Fellipe Tripovichy, Rafael Morita e Nicolas Kim.",Computadores," Um dos primeiros computadores portáteis, e um dos pioneiro na utilização de entradas USB. Não há possibilidade de grandes operações com essa máquina, porém, para época era satisfatório."," Além do uso recreativo, para jogos, por exemplo, dava-se para realizar tarefas com ele.",1997,,TOSHIBA,EUA,,,Em Progresso,Sim,,,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/1/8/45567_ca_attribute_values_value_blob_1881_large.jpg' width='700' height='536' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/90180_ca_attribute_values_value_blob_1882_large.jpg' width='700' height='498' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/73629_ca_attribute_values_value_blob_1883_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/97494_ca_attribute_values_value_blob_1884_large.jpg' width='700' height='566' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/75430_ca_attribute_values_value_blob_1885_large.jpg' width='700' height='557' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/8/51471_ca_attribute_values_value_blob_1886_large.jpg' width='700' height='568' />"
,"CP-200","Grupo 16 BCC - Caio Eduardo Cerquiaro; Gustavo Postali; Felipe Contini Torres; Leonardo de Almeida Lima Zanguetin",Computadores,"• Memória: - ROM: 8 KiB - RAM: 16 KiB (não expansível internamente) • Teclado: mecânico simplificado com retorno auditivo (“bipe”), tipo calculadora, com 43 teclas, incluindo duas teclas vermelhas que acionadas em conjunto provocavam um reset na máquina. • Display: - 22 X 32 texto (em “vídeo inverso”: caracteres claros sobre fundo escuro) - 64 x 44 (“semi-gráfico”) • Expansão: - 1 slot de 50 pinos (CP200: na lateral; CP200S: na traseira) • Portas: - 1 saída para TV (modulador RF, canal 3) - 1 saída para monitor (apenas no CP200S) - Interface de cassete - 1 soquete para joystick • Armazenamento: - Gravador de cassete (a 500/1500 bauds)","O computado pessoal CP-200 foi um computador doméstico, que tinham como intuito auxiliar seus usuários nas atividades do dia a dia.",1982,,"Prológica Indústria e Comércio de Microcomputadores Ltda",Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/9/17132_ca_attribute_values_value_blob_1932_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/4/61327_ca_attribute_values_value_blob_3481_large.jpg' width='700' height='635' />"
,"SF-8300 64 KB Digital Diary","Grupo 16 BCC - Caio Eduardo Cerquiaro; Gustavo Postali; Felipe Contini Torres; Leonardo de Almeida Lima Zanguetin",Outros,"> Armazenamento Telefone / cartão de visita / memória / agendamento de armazenamento / recuperação de dados, exibição de calendário, marcador, memória de frase, área secreta, edição, exibição de capacidade, exibição automática >Relógio Precisão de aproximadamente 3 segundos por dia em temperaturas normais, hora mundial, agendar alarme, alarme diário >Calculadora Cálculos aritméticos de 12 dígitos, constantes para + / - / x / ÷, memória independente, porcentagens, raízes quadradas, aproximações de 24 dígitos, cálculos de data, outros cálculos mistos >Geral    -Display: LCD de 32 colunas x 6 linhas    - Memória: 64KB (56,0006 bytes)    -Componente Principal: LSI    - Energia: Fonte de alimentação principal - Duas baterias de lítio CR2032                  Fonte de alimentação de reserva - Uma bateria de lítio CR2032    - Consumo de Energia: 0.05W    - Vida da Bateria:        . Principal: Aproximadamente 85 horas (ciclo repetido de entrada de dados de 1 minuto na lista telefônica                          seguido de exibição de 10 minutos. Temperatura de operação de 20ºC)       . Backup: 5 anos se as baterias principais forem substituídas assim que ficarem fracas.                       1 ano se a bateria principal descarregada for deixada na unidade.    - Desligamento Automático: Aproximadamente 6 minutos após a última operação da tecla.    - Temperatura: 0ºC~40ºC (32ºF~104ºF)    -Tamanho: Fechada ->10.5H x 154W x 155.2mmD                      Aberta 17.9X x 154W x 78mmD    - Peso: 152.5g (5.4 oz) incluindo as baterias ","Agenda eletrônica para armazenar lista telefônica. Possui também a opção de gravar telefones em uma área secreta com acesso somente com senha. ",1992,,"Casio Computer Co., LTDA",Taiwan,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/9/99717_ca_attribute_values_value_blob_1948_large.jpg' width='700' height='484' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/4/15534_ca_attribute_values_value_blob_3477_large.jpg' width='700' height='500' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/4/89031_ca_attribute_values_value_blob_3478_large.jpg' width='700' height='506' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/4/99096_ca_attribute_values_value_blob_3479_large.jpg' width='700' height='525' />"
,"SR-11","BCC Grupo 11 - Henrique Garcia Gomes do Ó, Jhonathan Oliveira Alves, Mariana de Lourdes Godoy da Silva, Matheus Rodrigues",Calculadoras,"Dimensões: 162 x 89 x 37 mm. A calculadora eletrônica SR-11 usa baterias de 9V que duravam de 4 a 6 horas de uso e demoravam de 3 a 6 horas para recarregar. Possui um display de LED, vermelho, de 12 dígitos. Precisão de 8 casas decimais. Tem operações: soma, subtração, multiplicação, divisão, raiz quadrada, elevar ao quadrado, 1/x e notação científica. Transforma o número automaticamente para notação científica quando excede as casas decimais.","Era muito usada por alunos de universidades de engenharia e matemática na década de 1970 para acompanhar as aulas e fazer trabalhos. ","1973-1974",,Texas Instruments Incorporated,"Dallas, Texas, Estados Unidos",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/4/4727_ca_attribute_values_value_blob_2485_large.jpg' width='700' height='973' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/4/81826_ca_attribute_values_value_blob_2486_large.jpg' width='700' height='1048' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/4/70918_ca_attribute_values_value_blob_2487_large.jpg' width='700' height='1048' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/4/90845_ca_attribute_values_value_blob_2488_large.jpg' width='700' height='446' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/4/5339_ca_attribute_values_value_blob_2489_large.jpg' width='700' height='915' />"
,NCR Class 31,"Samuel de Assunção Ferreira - BCC - GRUPO 26","Maquinas de Cálculo","A National Class 31 possui 102 cm de profundidade, 91 cm de largura, 85 cm de altura e é a combinação de uma máquina de escrever com uma somadora. A peça possui teclas que inserem valores numéricos, indicam o tipo de transação a ser realizada, informam datas e formatam o que foi digitado pelo usuário. O metal, o plástico e a borracha são os principais materiais de sua estrutura.","Máquina de contabilidade. Por ser a combinação entre uma máquina de escrever e uma máquina de somar, torna possível uma descrição detalhada das contas. Eram usadas para tarefas contábeis como o preparo de balanços mensais, cheques e folhas de pagamento.","1949 - Anos 50",,National Cash Register Company,"Estados Unidos da América",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/5/55728_ca_attribute_values_value_blob_2578_large.jpg' width='700' height='466' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/5/75869_ca_attribute_values_value_blob_2579_large.jpg' width='700' height='467' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/26282_ca_attribute_values_value_blob_3592_large.jpg' width='700' height='466' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/5/27361_ca_attribute_values_value_blob_3593_large.jpg' width='700' height='524' />"
,Escriba 2021,"Samuel de Assunção Ferreira - BCC - GRUPO 26",Outros,"A Teleimpressora Escriba 2021 ocupa uma área um pouco inferior a 0,15 m2 e consiste num teclado alfanumérico com opções de formatação junto a um visor que auxilia o usuário durante o uso da máquina, os quais são conectados a uma impressora, responsável pela impressão das mensagens enviadas e recebidas. Tem a capacidade de armazenar até 37.000 caracteres e sua impressora pode servir até 32 teclados (terminais).","Teleimpressora. Era usada para acessar o Telex, um sistema internacional de comunicações escritas que conta terminais únicos, endereçados numericamente e que podem enviar mensagens para outros terminais, sendo que todo o processo garante entrega imediata e com autenticação. O equipamento era ideal para tarefas de escritório, como o envio e recebimento de avisos, ordens de pagamento, confirmações de eventos, notícias etc.","1988 - Anos 90",,Schause,Brasil,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/5/99145_ca_attribute_values_value_blob_2572_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/5/58773_ca_attribute_values_value_blob_2574_large.jpg' width='700' height='607' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/5/45502_ca_attribute_values_value_blob_2576_large.jpg' width='700' height='913' />"
,1908,"(Grupo 25)Otávio Ferracioli Coletti/Vitor da Silveira Paula/João Pedro Duarte Nunes/João Victor Dionizio de Oliveira Santos/Gustavo Wadas Lopes - Bacharelado em Ciências de Computação",Impressoras,"Máquina portátil com capacidade de fazer múltiplas cópias de uma folha matriz utilizando o papel estêncil. Era muito utilizado em escolas e universidades.  Possui baixo custo de cópia, porém, grande desperdício de material e baixa qualidade da cópia. Altura 35 cm, Largura 24 cm, Comprimento 34 cm","O mimeógrafo é um aparelho usado para fazer cópias em grande escala.  Para isso utilizava - se o estêncil, que é um papel carbono hectográfico e álcool.","Década de 1980",,Facit,"Åtvidaberg, Suécia",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/1/7/3648_ca_attribute_values_value_blob_1797_large.jpg' width='700' height='405' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/7/53028_ca_attribute_values_value_blob_1798_large.jpg' width='700' height='391' />; <img src='http://143.107.183.188/media/collectiveaccess/images/1/7/18634_ca_attribute_values_value_blob_1799_large.jpg' width='700' height='802' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/6/55289_ca_attribute_values_value_blob_3600_large.jpg' width='700' height='618' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/6/59099_ca_attribute_values_value_blob_3601_large.jpg' width='700' height='466' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/6/78163_ca_attribute_values_value_blob_3602_large.jpg' width='700' height='402' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/6/627_ca_attribute_values_value_blob_3603_large.jpg' width='700' height='394' />"
